time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001146,0.0004,0.0047,0.0784,0.079
0.001723,0.0099,-0.0145,0.0544,0.057
0.011412,0.0217,-0.0192,0.0688,0.075
0.016783,0.0024,-0.0119,0.0664,0.067
0.024832,0.0023,-0.0095,0.0640,0.065
0.033460,0.0047,-0.0000,0.0688,0.069
0.041912,0.0119,-0.0166,0.0712,0.074
0.048329,-0.0050,0.0026,0.0712,0.071
0.056604,0.0118,-0.0118,0.0640,0.066
0.064271,0.0164,-0.0166,0.0736,0.077
0.072530,0.0115,0.0072,0.0879,0.089
0.080388,0.0042,-0.0022,0.0592,0.059
0.089135,0.0067,-0.0166,0.0616,0.064
0.097140,-0.0004,-0.0046,0.0688,0.069
0.104338,0.0020,-0.0143,0.0736,0.075
0.112435,-0.0004,-0.0190,0.0808,0.083
0.126363,0.0067,-0.0238,0.0760,0.080
0.128369,0.0211,0.0003,0.0855,0.088
0.136122,-0.0123,-0.0189,0.0784,0.082
0.144107,0.0165,0.0003,0.0592,0.061
0.152254,-0.0026,-0.0045,0.0736,0.074
0.160328,0.0071,-0.0093,0.0784,0.079
0.168303,0.0118,-0.0117,0.0712,0.073
0.176770,-0.0049,0.0003,0.0496,0.050
0.184279,-0.0025,-0.0165,0.0640,0.066
0.192399,0.0047,-0.0069,0.0808,0.081
0.201405,0.0024,-0.0117,0.0712,0.072
0.208466,-0.0024,-0.0045,0.0688,0.069
0.216843,0.0143,-0.0189,0.0784,0.082
0.225460,0.0094,-0.0045,0.0760,0.077
0.233334,0.0022,0.0002,0.0760,0.076
0.242207,0.0118,0.0051,0.0592,0.061
0.250203,0.0093,-0.0069,0.0784,0.079
0.256461,-0.0003,-0.0022,0.0640,0.064
0.264549,0.0069,-0.0213,0.0808,0.084
0.272353,-0.0026,-0.0021,0.0951,0.095
0.280659,0.0141,-0.0071,0.0760,0.078
0.288457,0.0189,-0.0119,0.0664,0.070
0.296469,0.0261,-0.0024,0.0736,0.078
0.304542,-0.0002,0.0048,0.0808,0.081
0.312283,-0.0073,-0.0048,0.0712,0.072
0.320321,0.0143,-0.0239,0.0712,0.076
0.328324,0.0072,-0.0144,0.0592,0.061
0.336512,-0.0001,-0.0145,0.0688,0.070
0.344473,-0.0001,0.0094,0.0664,0.067
0.352507,0.0071,-0.0146,0.0760,0.078
0.360550,0.0096,0.0046,0.0808,0.081
0.368329,-0.0144,-0.0193,0.0640,0.068
0.376515,0.0215,-0.0145,0.0496,0.056
0.384536,-0.0097,-0.0073,0.0832,0.084
0.392471,0.0215,-0.0192,0.0688,0.075
0.401783,0.0024,-0.0049,0.0664,0.067
0.408527,-0.0048,-0.0193,0.0616,0.065
0.416684,0.0215,0.0023,0.0808,0.084
0.425125,0.0287,-0.0120,0.0736,0.080
0.433607,0.0168,-0.0097,0.0736,0.076
0.442005,0.0241,-0.0169,0.0712,0.077
0.448441,0.0120,-0.0049,0.0544,0.056
0.456959,0.0072,-0.0049,0.0760,0.076
0.464228,0.0096,-0.0097,0.0832,0.084
0.472232,0.0239,-0.0120,0.0832,0.087
0.480266,0.0121,-0.0049,0.0712,0.072
0.488693,0.0024,0.0022,0.0784,0.078
0.496476,0.0142,-0.0002,0.0832,0.084
0.504394,0.0070,-0.0217,0.0640,0.068
0.512422,0.0116,-0.0050,0.0640,0.065
0.520325,0.0285,-0.0051,0.0856,0.090
0.528311,0.0117,-0.0217,0.0856,0.089
0.536762,0.0142,0.0022,0.0999,0.101
0.544380,-0.0003,-0.0074,0.0856,0.086
0.552396,0.0093,-0.0146,0.0736,0.076
0.560612,0.0260,-0.0075,0.0688,0.074
0.568568,0.0259,0.0094,0.0712,0.076
0.576608,0.0234,-0.0122,0.0808,0.085
0.584335,0.0209,-0.0170,0.0808,0.085
0.593017,-0.0030,-0.0146,0.0688,0.070
0.604423,0.0256,-0.0050,0.0760,0.080
0.610304,0.0137,-0.0192,0.0712,0.075
0.618693,0.0040,0.0071,0.0880,0.088
0.626543,-0.0081,-0.0024,0.0736,0.074
0.635109,0.0134,-0.0215,0.0903,0.094
0.642949,0.0062,-0.0096,0.0688,0.070
0.651752,0.0037,0.0000,0.0736,0.074
0.659406,0.0060,-0.0121,0.0736,0.075
0.667837,0.0156,0.0048,0.0473,0.050
0.673534,-0.0084,-0.0216,0.0712,0.075
0.681710,0.0084,-0.0288,0.0808,0.086
0.689690,0.0059,-0.0095,0.0688,0.070
