# Target Sample Rate: 500 Hz
time,gFx,gFy,gFz,TgF
0.002147154,-0.1273,-0.9770,-0.0064,0.985
0.007781231,-0.1432,-0.9655,-0.0701,0.979
0.013915385,-0.1451,-0.9758,-0.0928,0.991
0.017432308,-0.1463,-0.9831,-0.1031,0.999
0.030706538,-0.1488,-0.9894,-0.1085,1.006
0.038422846,-0.1583,-0.9860,-0.1212,1.006
0.042318461,-0.1603,-0.9682,-0.1173,0.988
0.046312308,-0.1527,-0.9645,-0.1148,0.983
0.049850769,-0.1520,-0.9618,-0.1124,0.980
0.052642231,-0.1429,-0.9694,-0.1109,0.986
0.055736615,-0.1417,-0.9697,-0.1099,0.986
0.059014461,-0.1358,-0.9750,-0.1036,0.990
0.073399385,-0.1317,-0.9787,-0.1004,0.993
0.077730538,-0.1358,-0.9799,-0.0848,0.993
0.081182846,-0.1388,-0.9758,-0.0792,0.989
0.084699385,-0.1400,-0.9750,-0.0704,0.988
0.086879385,-0.1390,-0.9758,-0.0691,0.988
0.090701846,-0.1378,-0.9762,-0.0650,0.988
0.094502154,-0.1366,-0.9784,-0.0596,0.990
0.096610769,-0.1349,-0.9784,-0.0584,0.989
0.098674769,-0.1322,-0.9787,-0.0550,0.989
0.102618846,-0.1312,-0.9797,-0.0530,0.990
0.104708692,-0.1322,-0.9777,-0.0528,0.988
0.106717231,-0.1285,-0.9784,-0.0518,0.988
0.108815692,-0.1297,-0.9775,-0.0515,0.987
0.112938461,-0.1309,-0.9767,-0.0515,0.987
0.116995461,-0.1302,-0.9762,-0.0501,0.986
0.119014231,-0.1283,-0.9758,-0.0515,0.986
0.121216615,-0.1278,-0.9748,-0.0515,0.984
0.124812308,-0.1270,-0.9762,-0.0506,0.986
0.129251461,-0.1231,-0.9814,-0.0498,0.990
0.132900308,-0.1207,-0.9863,-0.0476,0.995
0.136664923,-0.1197,-0.9921,-0.0452,1.000
0.1399,-0.1187,-0.9924,-0.0442,1.000
0.145540077,-0.1175,-0.9943,-0.0440,1.002
0.149819385,-0.1175,-0.9907,-0.0459,0.999
0.153046231,-0.1112,-0.9890,-0.0476,0.996
0.156826538,-0.1090,-0.9885,-0.0474,0.996
0.160834231,-0.1060,-0.9890,-0.0484,0.996
0.164924923,-0.1021,-0.9894,-0.0491,0.996
0.166950461,-0.1002,-0.9875,-0.0493,0.994
0.169000615,-0.0989,-0.9894,-0.0503,0.996
0.173138538,-0.0982,-0.9858,-0.0491,0.992
0.176920923,-0.0989,-0.9872,-0.0511,0.994
0.179469923,-0.0985,-0.9850,-0.0520,0.991
0.182744308,-0.0933,-0.9863,-0.0537,0.992
0.184778538,-0.0906,-0.9863,-0.0528,0.992
0.189134769,-0.0914,-0.9855,-0.0491,0.991
