# Target Sample Rate: 500 Hz
time,gFx,gFy,gFz,TgF
0.001525153,-0.1358,-0.9711,0.1612,0.994
0.004675,-0.1290,-0.9782,0.1769,1.002
0.00686823,-0.1287,-0.9777,0.1764,1.002
0.01311723,-0.1258,-0.9699,0.1757,0.994
0.015601538,-0.1226,-0.9628,0.1730,0.986
0.017690076,-0.1195,-0.9606,0.1717,0.983
0.021806384,-0.1153,-0.9538,0.1695,0.976
0.025680923,-0.1126,-0.9511,0.1661,0.972
0.027793538,-0.1129,-0.9513,0.1622,0.972
0.031711615,-0.1121,-0.9521,0.1564,0.971
0.033752307,-0.1141,-0.9528,0.1556,0.972
0.03578523,-0.1148,-0.9543,0.1546,0.974
0.039692,-0.1195,-0.9523,0.1529,0.972
0.042078153,-0.1239,-0.9508,0.1534,0.971
0.045760615,-0.1297,-0.9477,0.1546,0.969
0.049602384,-0.1515,-0.9235,0.1586,0.949
0.052670384,-0.1478,-0.9249,0.1610,0.950
0.056044307,-0.1441,-0.9301,0.1625,0.955
0.062752307,-0.1283,-0.9391,0.1593,0.961
0.066202076,-0.1368,-0.9362,0.1561,0.959
0.069916923,-0.1378,-0.9330,0.1539,0.956
0.073941461,-0.1344,-0.9308,0.1546,0.953
0.077990769,-0.1388,-0.9296,0.1539,0.952
0.081855,-0.1395,-0.9311,0.1556,0.954
0.085732846,-0.1405,-0.9323,0.1617,0.957
0.089956,-0.1393,-0.9328,0.1600,0.957
0.092178692,-0.1380,-0.9323,0.1600,0.956
0.094319615,-0.1405,-0.9293,0.1647,0.954
0.097886384,-0.1410,-0.9257,0.1678,0.951
0.102328923,-0.1459,-0.9281,0.1749,0.956
0.105870076,-0.1466,-0.9264,0.1722,0.954
0.109961846,-0.1537,-0.9215,0.1722,0.950
0.111996538,-0.1546,-0.9161,0.1715,0.945
0.115868615,-0.1568,-0.9086,0.1725,0.938
0.119879,-0.1615,-0.8978,0.1769,0.929
0.121891692,-0.1620,-0.8968,0.1774,0.928
0.12598,-0.1678,-0.8834,0.1759,0.916
0.130094384,-0.1954,-0.8653,0.1744,0.904
0.133914153,-0.2426,-0.8473,0.1129,0.888
0.137794153,-0.2316,-0.8490,0.1068,0.886
0.142147307,-0.2152,-0.8155,0.1495,0.857
0.145967,-0.1590,-0.8033,0.1854,0.840
0.152374076,-0.1285,-0.7840,0.2094,0.822
0.157490692,-0.0762,-0.7798,0.2177,0.813
0.162411923,0.0252,-0.8380,0.1732,0.856
0.166069153,0.0327,-0.8558,0.1202,0.865
0.168263692,0.0171,-0.8477,0.1114,0.855
0.171807384,-0.0132,-0.8299,0.1068,0.837
0.173848538,-0.0281,-0.8184,0.1073,0.826
0.180656538,-0.0452,-0.8016,0.1080,0.810
0.186390769,-0.0821,-0.7275,0.1456,0.746
0.189891307,-0.1419,-0.5954,0.2113,0.648
0.195804923,-0.1473,-0.5668,0.2218,0.626
0.200107307,-0.1178,-0.4339,0.3032,0.542
0.203769461,-0.0911,-0.3960,0.3105,0.511
0.205921153,-0.0858,-0.3887,0.3049,0.501
0.208930076,-0.0774,-0.3731,0.2871,0.477
0.211172615,-0.0679,-0.3640,0.2660,0.456
0.214969461,-0.0657,-0.3604,0.2541,0.446
0.219843923,-0.0623,-0.3411,0.2231,0.412
0.223375692,-0.0645,-0.3393,0.1884,0.393
0.225895307,-0.0618,-0.3318,0.1478,0.368
0.229553846,-0.0726,-0.3164,0.1033,0.341
0.233611384,-0.0801,-0.3012,0.0814,0.322
0.235783307,-0.0870,-0.2907,0.0650,0.310
0.239523384,-0.0967,-0.2795,0.0364,0.298
0.241716923,-0.0960,-0.2753,0.0254,0.293
0.24382123,-0.0985,-0.2712,0.0279,0.290
0.247706153,-0.1033,-0.2766,0.0552,0.300
0.251710384,-0.0985,-0.2746,0.0657,0.299
0.25392,-0.0782,-0.2621,0.0344,0.276
0.259580923,-0.0669,-0.2768,0.0230,0.286
0.26217323,-0.0665,-0.2919,0.0059,0.299
0.265814769,-0.0584,-0.3149,0.0073,0.320
0.269720538,-0.0464,-0.3291,0.0142,0.333
0.27364023,-0.0257,-0.3371,0.0151,0.338
0.275712846,-0.0171,-0.3513,-0.0127,0.352
0.277735307,0.0015,-0.3833,-0.0347,0.385
0.281812,0.0298,-0.4410,-0.0154,0.442
0.285951076,0.0440,-0.4937,0.0442,0.498
0.289743,0.0117,-0.5294,0.0831,0.536
0.292181846,-0.0093,-0.5436,0.0596,0.547
0.294242153,-0.0191,-0.5624,0.0428,0.564
0.297822153,-0.0291,-0.5929,-0.0032,0.594
0.300632538,-0.0381,-0.6144,-0.0454,0.617
0.303716846,-0.0589,-0.6310,-0.0464,0.635
0.305816307,-0.0657,-0.6506,-0.0403,0.655
0.310023384,-0.0491,-0.6738,-0.0586,0.678
0.313756923,-0.0396,-0.7168,-0.1077,0.726
0.317837153,-0.0799,-0.8150,-0.1234,0.828
0.319970153,-0.1312,-0.9220,-0.1046,0.937
0.323608538,-0.2138,-1.0925,-0.1185,1.120
0.325704846,-0.2734,-1.1978,-0.1561,1.239
0.327783384,-0.3232,-1.3080,-0.1950,1.361
0.331756538,-0.4305,-1.4844,-0.2211,1.561
0.333909153,-0.4962,-1.6022,-0.2145,1.691
0.336030384,-0.5314,-1.6659,-0.2045,1.761
0.339740307,-0.7124,-2.0016,-0.0476,2.125
0.342265153,-0.7405,-2.2305,0.0423,2.351
0.345885846,-0.7727,-2.5410,0.1302,2.659
0.352557153,-0.7041,-2.7480,0.4319,2.869
0.354615384,-0.6494,-2.9783,0.9118,3.182
0.357952538,-0.6408,-3.1704,1.0344,3.396
0.363822461,-0.6430,-3.2586,0.9056,3.443
0.366063307,-0.7556,-3.3309,0.4820,3.449
0.368090461,-0.7664,-3.3292,0.3516,3.434
0.370102076,-0.7490,-3.3028,0.2558,3.396
0.373782692,-0.6635,-3.2402,0.1468,3.311
0.377963923,-0.5470,-3.1308,0.0679,3.179
0.38182923,-0.4209,-2.8156,-0.0037,2.847
0.383921846,-0.3928,-2.6111,-0.0010,2.641
0.386113461,-0.3494,-2.4995,0.0115,2.524
0.389629538,-0.3059,-2.0338,0.0496,2.057
0.391779,-0.3025,-1.9166,0.0498,1.941
0.394177153,-0.3007,-1.6869,0.0467,1.714
0.397591307,-0.3264,-1.3789,0.0657,1.418
0.400422076,-0.3540,-1.2083,0.0889,1.262
0.403672307,-0.4046,-0.9071,0.1275,1.001
0.40577623,-0.4082,-0.8468,0.1341,0.950
0.409724307,-0.4143,-0.6648,0.1461,0.797
0.413507307,-0.4036,-0.5534,0.1490,0.701
0.41562123,-0.3840,-0.4933,0.1373,0.640
0.418003615,-0.3674,-0.4471,0.1309,0.593
0.420130769,-0.3638,-0.4288,0.1292,0.577
0.423702769,-0.3618,-0.3660,0.1463,0.535
0.426021769,-0.3633,-0.3555,0.1500,0.530
0.430073153,-0.3496,-0.3323,0.1515,0.506
0.433777846,-0.3476,-0.3098,0.1517,0.490
0.436000615,-0.3411,-0.3068,0.1466,0.482
0.439580307,-0.3247,-0.3132,0.1459,0.474
0.441946692,-0.3149,-0.3196,0.1461,0.472
0.445774384,-0.3156,-0.3389,0.1502,0.487
0.452162076,-0.3305,-0.3657,0.1603,0.518
0.457143923,-0.3635,-0.4473,0.1683,0.600
0.46232423,-0.3787,-0.5101,0.1654,0.656
0.465991615,-0.3843,-0.6941,0.1351,0.805
0.470010153,-0.3821,-0.7898,0.1163,0.885
0.473936,-0.3770,-0.8702,0.1009,0.954
0.477947923,-0.3682,-0.9516,0.0804,1.023
0.481868538,-0.3599,-0.9999,0.0606,1.064
0.486034769,-0.3425,-1.0473,0.0533,1.103
0.489737769,-0.3303,-1.0745,0.0601,1.126
0.491785461,-0.3254,-1.0886,0.0689,1.138
0.49392423,-0.3213,-1.0957,0.0828,1.145
0.497709461,-0.3171,-1.1038,0.1090,1.154
0.500230692,-0.3193,-1.1050,0.1319,1.158
0.503703307,-0.3296,-1.0977,0.1669,1.158
0.505725846,-0.3420,-1.0842,0.1896,1.153
