# Target Sample Rate: 500 Hz
time,gFx,gFy,gFz,TgF
0.001208,-0.0606,-0.9635,-0.0090,0.965
0.004177538,-0.0657,-0.9567,-0.0054,0.959
0.009707769,-0.0682,-0.9547,-0.0081,0.957
0.012425923,-0.0684,-0.9521,-0.0129,0.955
0.015659077,-0.0657,-0.9508,-0.0125,0.953
0.018309231,-0.0603,-0.9540,-0.0142,0.956
0.022926769,-0.0596,-0.9513,-0.0117,0.953
0.028106154,-0.0567,-0.9508,-0.0107,0.953
0.031742461,-0.0533,-0.9491,-0.0068,0.951
0.038323154,-0.0479,-0.9504,-0.0032,0.952
0.045596,-0.0259,-0.9814,-0.0100,0.982
0.052941615,-0.0222,-0.9963,0.0100,0.997
0.055844,-0.0366,-0.9941,0.0337,0.995
0.058497231,-0.0479,-0.9912,0.0401,0.993
0.060911384,-0.0545,-0.9921,0.0410,0.994
0.064590846,-0.0586,-0.9936,0.0410,0.996
0.069596077,-0.0633,-0.9938,0.0413,0.997
0.073204384,-0.0689,-0.9953,0.0374,0.998
0.078342846,-0.0782,-0.9909,0.0191,0.994
0.080805846,-0.0770,-0.9907,0.0154,0.994
0.084453846,-0.0745,-0.9870,0.0044,0.990
0.089087154,-0.0721,-0.9894,-0.0002,0.992
0.092128923,-0.0682,-0.9919,-0.0007,0.994
0.094075769,-0.0684,-0.9921,0.0005,0.994
0.096213308,-0.0662,-0.9902,0.0032,0.992
0.098211692,-0.0667,-0.9897,0.0039,0.992
0.102020692,-0.0696,-0.9890,0.0083,0.991
0.104305538,-0.0669,-0.9894,0.0110,0.992
0.107994461,-0.0704,-0.9921,0.0125,0.995
0.112193615,-0.0701,-0.9938,0.0110,0.996
0.114384615,-0.0679,-0.9953,0.0100,0.998
0.118215384,-0.0606,-0.9963,0.0068,0.998
0.120248923,-0.0584,-0.9958,0.0066,0.998
0.123500384,-0.0552,-0.9946,0.0059,0.996
0.126974538,-0.0542,-0.9912,0.0044,0.993
0.130669846,-0.0518,-0.9868,-0.0029,0.988
0.134283461,-0.0515,-0.9875,-0.0029,0.989
0.138374846,-0.0508,-0.9848,-0.0012,0.986
0.140584077,-0.0520,-0.9846,-0.0002,0.986
0.144260692,-0.0540,-0.9821,0.0054,0.984
0.146311154,-0.0540,-0.9819,0.0054,0.983
0.148582846,-0.0542,-0.9819,0.0064,0.983
0.152656384,-0.0525,-0.9814,0.0066,0.983
0.154705846,-0.0513,-0.9811,0.0073,0.983
0.158175461,-0.0493,-0.9826,0.0110,0.984
0.160158231,-0.0498,-0.9836,0.0129,0.985
0.163041,-0.0496,-0.9853,0.0139,0.987
0.166224692,-0.0503,-0.9855,0.0169,0.987
0.168476077,-0.0528,-0.9850,0.0191,0.987
0.172445231,-0.0581,-0.9885,0.0232,0.990
0.176538538,-0.0623,-0.9890,0.0257,0.991
0.180395077,-0.0682,-0.9870,0.0288,0.990
0.182599154,-0.0699,-0.9875,0.0300,0.990
0.186253538,-0.0735,-0.9865,0.0330,0.990
0.188683384,-0.0750,-0.9868,0.0332,0.990
0.192474846,-0.0743,-0.9850,0.0354,0.988
0.196779461,-0.0752,-0.9853,0.0332,0.989
0.200308077,-0.0750,-0.9882,0.0330,0.992
0.204981538,-0.0752,-0.9902,0.0349,0.994
0.208492308,-0.0755,-0.9929,0.0369,0.996
0.212373846,-0.0723,-0.9926,0.0352,0.996
0.216425846,-0.0701,-0.9926,0.0388,0.996
0.220296308,-0.0652,-0.9941,0.0408,0.997
0.224510154,-0.0618,-0.9948,0.0396,0.998
0.228687384,-0.0564,-0.9958,0.0369,0.998
0.232875154,-0.0513,-0.9909,0.0428,0.993
0.236381538,-0.0513,-0.9855,0.0537,0.988
0.238451077,-0.0535,-0.9824,0.0586,0.986
0.241017615,-0.0540,-0.9804,0.0623,0.984
0.244329231,-0.0591,-0.9772,0.0689,0.981
0.246522538,-0.0611,-0.9765,0.0730,0.981
0.248912308,-0.0625,-0.9753,0.0755,0.980
0.252449308,-0.0691,-0.9736,0.0770,0.979
0.254778846,-0.0762,-0.9711,0.0762,0.977
0.258327154,-0.0823,-0.9719,0.0755,0.978
0.260568692,-0.0865,-0.9701,0.0713,0.977
0.264449308,-0.0909,-0.9665,0.0672,0.973
0.268424384,-0.0938,-0.9616,0.0665,0.968
0.272323154,-0.0945,-0.9596,0.0662,0.967
0.276392077,-0.0872,-0.9577,0.0694,0.964
0.278518538,-0.0853,-0.9579,0.0694,0.964
0.280572692,-0.0811,-0.9591,0.0723,0.965
0.282733615,-0.0760,-0.9611,0.0752,0.967
0.286154461,-0.0672,-0.9643,0.0796,0.970
0.288496077,-0.0625,-0.9665,0.0838,0.972
0.292542846,-0.0537,-0.9699,0.0858,0.975
0.296716384,-0.0398,-0.9748,0.0960,0.980
0.300531384,-0.0296,-0.9765,0.1004,0.982
0.305079077,-0.0120,-0.9794,0.1090,0.986
0.308567384,-0.0007,-0.9821,0.1175,0.989
0.312378461,0.0078,-0.9838,0.1278,0.992
0.314438154,0.0098,-0.9831,0.1331,0.992
0.318342846,0.0166,-0.9880,0.1432,0.998
0.323914846,0.0205,-0.9936,0.1520,1.005
0.327552308,0.0215,-0.9951,0.1630,1.009
