time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001080,0.0043,0.0260,0.0160,0.031
0.012202,-0.0400,0.0326,-0.1547,0.163
0.015809,-0.0409,-0.0396,-0.1927,0.201
0.024077,-0.1185,-0.2074,-0.1429,0.278
0.030711,-0.1290,-0.4373,-0.0613,0.460
0.038668,-0.0484,-0.4372,-0.0122,0.440
0.046665,-0.0195,-0.3437,-0.0184,0.345
0.054484,-0.0827,-0.2813,0.1049,0.311
0.062595,-0.0899,-0.2310,0.1112,0.272
0.070449,-0.0397,-0.2142,0.0417,0.222
0.078631,-0.0228,-0.1879,-0.0201,0.190
0.088430,-0.0294,-0.1999,-0.0007,0.202
0.094532,0.0486,-0.2598,0.0878,0.278
0.102732,-0.0181,-0.2478,0.1377,0.284
0.110578,0.0194,-0.1974,0.1564,0.253
0.118675,0.0863,-0.2453,0.1564,0.303
0.126485,0.0604,-0.2955,0.1637,0.343
0.134643,0.0303,-0.2547,0.1728,0.309
0.142568,0.0622,-0.3169,0.1172,0.344
0.150488,0.0272,-0.3263,0.1043,0.344
0.158977,-0.0602,-0.3309,0.0651,0.343
0.166598,-0.0565,-0.3068,0.1000,0.328
0.174654,-0.0724,-0.2611,-0.0417,0.274
0.184238,-0.2387,-0.0982,-0.1467,0.297
0.192369,-0.3092,0.0359,-0.1798,0.359
0.198993,-0.2607,0.2252,-0.1316,0.369
0.207192,-0.0675,0.2660,-0.1171,0.298
0.215623,0.0950,0.2278,0.0312,0.249
0.223967,0.1697,0.2016,0.2130,0.339
0.230600,0.2209,0.0987,0.2468,0.346
0.238819,0.1459,0.0484,0.2929,0.331
0.246609,0.1798,-0.1001,0.1672,0.265
0.254637,0.1624,-0.1961,0.0493,0.259
0.262481,0.1212,-0.3303,0.0393,0.354
0.270457,0.1161,-0.4765,0.0363,0.492
0.278551,0.0760,-0.5317,0.0901,0.545
0.286544,0.2600,-0.7855,-0.0307,0.828
0.294734,0.4118,-0.9484,-0.0012,1.034
0.302761,0.4531,-1.0967,0.1761,1.200
0.310805,0.4480,-1.2545,0.1922,1.346
0.318554,0.2722,-1.3667,0.0912,1.397
0.326481,0.0167,-1.4166,0.0176,1.417
0.334518,-0.1673,-1.4305,0.1389,1.447
0.342649,-0.3732,-1.5233,0.1531,1.576
0.350470,-0.9182,-2.0087,-0.0780,2.210
0.358710,-1.6051,-2.8962,-0.4855,3.347
0.366653,-1.5399,-3.0966,-0.3686,3.478
0.374477,-1.6932,-3.0794,0.5891,3.563
0.384188,0.0310,-4.7797,0.1342,4.782
0.390752,0.4799,-5.5306,0.5636,5.580
0.398792,0.7168,-6.4377,1.5574,6.662
0.407321,0.6089,-6.7445,2.2361,7.132
0.415897,0.1141,-6.8218,2.0775,7.132
0.424413,-0.1184,-6.8230,1.3816,6.962
0.432530,-0.0586,-7.1404,0.6993,7.175
0.438535,0.0188,-7.6399,0.3479,7.648
0.446484,-0.0863,-7.4855,0.1718,7.488
0.454510,-0.2351,-7.5629,-0.0986,7.567
0.462487,-0.2725,-7.8290,-0.5181,7.851
0.470595,-0.1434,-8.3650,-1.0534,8.432
0.478531,-0.3182,-8.4906,-1.6382,8.653
0.486686,-1.1262,-7.6289,-2.2948,8.046
0.494701,-0.8368,-7.4033,-2.5540,7.876
0.502522,-0.8982,-6.8392,-3.0662,7.549
0.510569,-0.5892,-6.7054,-3.8665,7.763
0.518865,0.0456,-6.4153,-3.7331,7.423
0.526500,0.3008,-3.0959,-4.3440,5.343
0.534663,0.2373,10.5684,-1.4874,10.675
0.542627,4.3397,14.5176,-2.3460,15.333
0.550493,3.9090,24.6209,-4.2483,25.289
0.559044,3.0906,33.8322,-2.2994,34.051
0.567770,2.6925,38.9448,2.3349,39.108
0.576465,0.0745,39.1628,6.7781,39.745
0.589129,-1.9349,26.5217,4.2367,26.928
